20260913T1333	delta-flooded-shaft-wooden-pick	control	mcai-base	alive	not	rise2	move16	picks_lost0
20260913T1333	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise0	move397	picks_lost0
20260913T1333	bravo-flooded-pocket-no-tools	control	mcai-base	alive	not	rise0	move0	picks_lost0
20260913T1333	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move465	picks_lost0
20260913T1333	buried-ore-d5	candidate	mcai-recovery	alive	not	rise0	move9	picks_lost0
20260913T1333	buried-ore-d5	control	mcai-base	alive	not	rise2	move5	picks_lost0
20260913T1333	buried-ore-d6-detour	control	mcai-base	alive	not	rise0	move1	picks_lost0
20260913T1333	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise5	move9	picks_lost0
20260913T1358	delta-flooded-shaft-wooden-pick	control	mcai-base	alive	not	rise0	move0	picks_lost0	samples43
20260913T1358	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise2	move0	picks_lost0	samples59
20260913T1358	bravo-flooded-pocket-no-tools	control	mcai-base	alive	not	rise0	move0	picks_lost0	samples50
20260913T1358	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples97
20260913T1358	buried-ore-d5	control	mcai-base	alive	not	rise7	move10	picks_lost0	samples55
20260913T1358	buried-ore-d5	candidate	mcai-recovery	alive	not	rise7	move2	picks_lost0	samples24
20260913T1358	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise8	move8	picks_lost0	samples42
20260913T1358	buried-ore-d6-detour	control	mcai-base	alive	not	rise6	move4	picks_lost0	samples28
20260913T1452	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples638
20260913T1452	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples82
20260913T1452	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples255
20260913T1452	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples83
20260913T1452	buried-ore-d5	control	mcai-recovery	alive	not	rise5	move16	picks_lost0	samples43
20260913T1452	buried-ore-d5	candidate	mcai-recovery	alive	not	rise6	move8	picks_lost0	samples27
20260913T1452	buried-ore-d6-detour	control	mcai-recovery	alive	not	rise1	move1	picks_lost0	samples15
20260913T1452	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise6	move1	picks_lost0	samples47
20260913T1525	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise4	move0	picks_lost0	samples26
20260913T1525	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples125
20260913T1525	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples102
20260913T1525	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples285
20260913T1525	buried-ore-d5	candidate	mcai-recovery	alive	not	rise6	move1	picks_lost0	samples72
20260913T1525	buried-ore-d5	control	mcai-recovery	alive	not	rise13	move2	picks_lost0	samples24
20260913T1525	buried-ore-d6-detour	control	mcai-recovery	alive	not	rise10	move11	picks_lost0	samples45
20260913T1525	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise3	move0	picks_lost0	samples22
20260913T1553	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise4	move0	picks_lost0	samples35
20260913T1553	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples66
20260913T1553	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples81
20260913T1553	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples158
20260913T1553	buried-ore-d5	candidate	mcai-recovery	alive	not	rise1	move1	picks_lost0	samples83
20260913T1553	buried-ore-d5	control	mcai-recovery	alive	not	rise10	move11	picks_lost0	samples35
20260913T1553	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise3	move0	picks_lost0	samples17
20260913T1553	buried-ore-d6-detour	control	mcai-recovery	alive	not	rise12	move10	picks_lost0	samples56
20260913T1617	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise2	move0	picks_lost0	samples66
20260913T1617	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples71
20260913T1617	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples94
20260913T1617	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples160
20260913T1617	buried-ore-d5	control	mcai-recovery	alive	not	rise12	move0	picks_lost0	samples27
20260913T1617	buried-ore-d5	candidate	mcai-recovery	alive	not	rise2	move1	picks_lost0	samples43
20260913T1617	buried-ore-d6-detour	control	mcai-recovery	alive	not	rise12	move9	picks_lost0	samples39
20260913T1617	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise2	move0	picks_lost0	samples21
20260913T1644	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples52
20260913T1644	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples69
20260913T1644	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples52
20260913T1644	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples66
20260913T1644	delta-flooded-shaft-wooden-pick	control	mcai-recovery	alive	not	rise1	move0	picks_lost0	samples52
20260913T1644	delta-flooded-shaft-wooden-pick	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples66
20260913T1644	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples161
20260913T1644	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples88
20260913T1644	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples96
20260913T1644	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples164
20260913T1644	bravo-flooded-pocket-no-tools	control	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples101
20260913T1644	bravo-flooded-pocket-no-tools	candidate	mcai-recovery	alive	not	rise0	move0	picks_lost0	samples157
20260913T1644	buried-ore-d5	control	mcai-recovery	alive	not	rise2	move14	picks_lost0	samples46
20260913T1644	buried-ore-d5	candidate	mcai-recovery	alive	not	rise10	move4	picks_lost0	samples44
20260913T1644	buried-ore-d5	candidate	mcai-recovery	alive	not	rise10	move4	picks_lost0	samples47
20260913T1644	buried-ore-d5	control	mcai-recovery	alive	not	rise12	move14	picks_lost0	samples29
20260913T1644	buried-ore-d5	candidate	mcai-recovery	alive	not	rise2	move3	picks_lost0	samples53
20260913T1644	buried-ore-d5	control	mcai-recovery	alive	not	rise11	move16	picks_lost0	samples47
20260913T1644	buried-ore-d6-detour	control	mcai-recovery	alive	not	rise9	move7	picks_lost0	samples47
20260913T1644	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise3	move0	picks_lost0	samples18
20260913T1644	buried-ore-d6-detour	candidate	mcai-recovery	alive	not	rise12	move5	picks_lost0	samples45
20260913T1644	buried-ore-d6-detour	control	mcai-recovery	alive	not	rise12	move7	picks_lost0	samples29
